# path	original_sha256	current_sha256	pool_commit	license	upstream_sha	modifications
LeanPool/Incompleteness/Foundation/Logic/Calculus.lean	4bdaeb17a54921285abe29e57e9c2db88a360cb6d6dc2185a12ead3151ad2287	4bdaeb17a54921285abe29e57e9c2db88a360cb6d6dc2185a12ead3151ad2287	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Disjunctive.lean	8b852fe1894e8661fae1959d8379b1549d014dc852197133b8cc9126026f3a10	8b852fe1894e8661fae1959d8379b1549d014dc852197133b8cc9126026f3a10	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Entailment.lean	845f39ba2bd3f0f9d75a94582b7359dbef46c2c661fff1244ae0c3b4dcddf9f3	845f39ba2bd3f0f9d75a94582b7359dbef46c2c661fff1244ae0c3b4dcddf9f3	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/HilbertStyle/Basic.lean	62f7e01092fe3245083dc4aa42f4e3a7d8c6f0a4ac6f4b73b82b341cabe10353	62f7e01092fe3245083dc4aa42f4e3a7d8c6f0a4ac6f4b73b82b341cabe10353	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/HilbertStyle/Context.lean	b004bb9d1d2a3b31d11ea6cdd52b4695d179796a7942ace182c5bb4da1f7ff61	b004bb9d1d2a3b31d11ea6cdd52b4695d179796a7942ace182c5bb4da1f7ff61	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/HilbertStyle/Lukasiewicz.lean	d35b186f2dd5eeb531f920e30536de78acef46c81d3f663d65dcfbae5144d766	d35b186f2dd5eeb531f920e30536de78acef46c81d3f663d65dcfbae5144d766	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/HilbertStyle/Supplemental.lean	db7c795e8fb51c11519192e5a6a031ab0f578e82f79e4ed7ab93e48ee8a73b7b	db7c795e8fb51c11519192e5a6a031ab0f578e82f79e4ed7ab93e48ee8a73b7b	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/LogicSymbol.lean	07aba1a173619ff3270bf9e120feb568d9a9d7b95b9d2ad7d7893073dc3331df	07aba1a173619ff3270bf9e120feb568d9a9d7b95b9d2ad7d7893073dc3331df	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Predicate/Language.lean	5234c7d17e470b9fc545198cca8034bbe33a657b33e745290b70d3515a62efb3	5234c7d17e470b9fc545198cca8034bbe33a657b33e745290b70d3515a62efb3	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Predicate/Quantifier.lean	c36a2366cc064d53102915fb4360d99d91a91fada19194d8ac9577b3c8c8e5a8	c36a2366cc064d53102915fb4360d99d91a91fada19194d8ac9577b3c8c8e5a8	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Predicate/Rew.lean	9f09ba72386f9ba5b74cc6ab5a8e9d51e6b4f7a6fd57a94932a299cb418988c3	9f09ba72386f9ba5b74cc6ab5a8e9d51e6b4f7a6fd57a94932a299cb418988c3	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Predicate/Term.lean	ff4e9e1a539194d7a8f956ca5c2392b0fce34f563c07ef7ae2d72d9601b4b764	ff4e9e1a539194d7a8f956ca5c2392b0fce34f563c07ef7ae2d72d9601b4b764	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Semantics.lean	196337bc9fc9e9efacd8c0f105ab0090f9b98b61bd7f6c40bed1c4c5b2e87e79	196337bc9fc9e9efacd8c0f105ab0090f9b98b61bd7f6c40bed1c4c5b2e87e79	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Axioms.lean	2640c63c6ea957d3d7f153100b93bc626dd4081a1a3b8b54b013ad4ace4fe60d	2640c63c6ea957d3d7f153100b93bc626dd4081a1a3b8b54b013ad4ace4fe60d	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Complement.lean	634e81fc08a458566ecd5eaed742cfcc72d30f41d0b37e99fa8cedae11946445	634e81fc08a458566ecd5eaed742cfcc72d30f41d0b37e99fa8cedae11946445	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/ComplementClosedConsistentFinset.lean	6cd2f1959d6fb6b9e4e0886b4b0db03b17558810a50b12033df243ad89542e88	6cd2f1959d6fb6b9e4e0886b4b0db03b17558810a50b12033df243ad89542e88	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/Basic.lean	2a91466cd9309f1dd8a76be0ab99a7455b24b4c46faf62642d6a3a90a23a37db	2a91466cd9309f1dd8a76be0ab99a7455b24b4c46faf62642d6a3a90a23a37db	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/GL.lean	f717c0b2dfb98facae81bf6ecb5bcfcc8aaf89923fa55de5963fae8cbc2eb4e2	f717c0b2dfb98facae81bf6ecb5bcfcc8aaf89923fa55de5963fae8cbc2eb4e2	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/Grz.lean	d20e7b3c794ebe942be5c69cce7cc7c85172d27990186cf1049f88fb26f79d83	d20e7b3c794ebe942be5c69cce7cc7c85172d27990186cf1049f88fb26f79d83	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/K.lean	fd2a6b4884b6149c8899201da5dd12701ba09c3969d122e7bcf034a76276b628	fd2a6b4884b6149c8899201da5dd12701ba09c3969d122e7bcf034a76276b628	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/K4.lean	bb6b41f346b2ccdf19885a446cfe3c61f426f097407c35758d609acfa1abf37f	bb6b41f346b2ccdf19885a446cfe3c61f426f097407c35758d609acfa1abf37f	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Modal/Entailment/K5.lean	f0ac1bff1139d6ee902ce70e5cb947138b8d2ebdc92959c2f30d2ab3fef10185	f0ac1bff1139d6ee902ce70e5cb947138b8d2ebdc92959c2f30d2ab3fef10185	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
